# TCRW Fig 3(a) exact: P_edge/P_bulk vs D_r (ω=1, OBC)
# Generated by tcrw_fig3_exact_dump.py — exact authors-Python data
# columns: L   D_r   ratio   P_edge_norm   P_bulk_norm   n_edge   n_bulk
  4    1.00000e-04    3.12569e+03    6.24888e-02    1.99920e-05        16           9
  4    1.46780e-04    2.12973e+03    6.24835e-02    2.93388e-05        16           9
  4    2.15443e-04    1.45118e+03    6.24758e-02    4.30516e-05        16           9
  4    3.16228e-04    9.88899e+02    6.24645e-02    6.31657e-05        16           9
  4    4.64159e-04    6.73948e+02    6.24479e-02    9.26597e-05        16           9
  4    6.81292e-04    4.59375e+02    6.24236e-02    1.35888e-04        16           9
  4    1.00000e-03    3.13187e+02    6.23879e-02    1.99203e-04        16           9
  4    1.46780e-03    2.13591e+02    6.23358e-02    2.91846e-04        16           9
  4    2.15443e-03    1.45737e+02    6.22597e-02    4.27205e-04        16           9
  4    3.16228e-03    9.95087e+01    6.21487e-02    6.24555e-04        16           9
  4    4.64159e-03    6.80136e+01    6.19873e-02    9.11396e-04        16           9
  4    6.81292e-03    4.65562e+01    6.17539e-02    1.32644e-03        16           9
  4    1.00000e-02    3.19375e+01    6.14183e-02    1.92308e-03        16           9
  4    1.46780e-02    2.19779e+01    6.09403e-02    2.77280e-03        16           9
  4    2.15443e-02    1.51925e+01    6.02686e-02    3.96700e-03        16           9
  4    3.16228e-02    1.05696e+01    5.93419e-02    5.61439e-03        16           9
  4    4.64159e-02    7.42011e+00    5.80959e-02    7.82952e-03        16           9
  4    6.81292e-02    5.27437e+00    5.64769e-02    1.07078e-02        16           9
  4    1.00000e-01    3.81250e+00    5.44643e-02    1.42857e-02        16           9
  4    1.46780e-01    2.81654e+00    5.20958e-02    1.84964e-02        16           9
  4    2.15443e-01    2.13800e+00    4.94816e-02    2.31439e-02        16           9
  4    3.16228e-01    1.67571e+00    4.67927e-02    2.79241e-02        16           9
  4    4.64159e-01    1.36076e+00    4.42205e-02    3.24969e-02        16           9
  4    6.81292e-01    1.14619e+00    4.19250e-02    3.65778e-02        16           9
  4    1.00000e+00            nan    6.25000e-02    0.00000e+00        16           9

  9    1.00000e-04    2.77850e+03    2.77600e-02    9.99101e-06        36          64
  9    1.46780e-04    1.89320e+03    2.77517e-02    1.46586e-05        36          64
  9    2.15443e-04    1.29005e+03    2.77396e-02    2.15027e-05        36          64
  9    3.16228e-04    8.79133e+02    2.77217e-02    3.15330e-05        36          64
  9    4.64159e-04    5.99176e+02    2.76956e-02    4.62228e-05        36          64
  9    6.81292e-04    4.08444e+02    2.76574e-02    6.77140e-05        36          64
  9    1.00000e-03    2.78500e+02    2.76016e-02    9.91080e-05        36          64
  9    1.46780e-03    1.89970e+02    2.75202e-02    1.44866e-04        36          64
  9    2.15443e-03    1.29655e+02    2.74021e-02    2.11345e-04        36          64
  9    3.16228e-03    8.85633e+01    2.72312e-02    3.07477e-04        36          64
  9    4.64159e-03    6.05676e+01    2.69857e-02    4.45546e-04        36          64
  9    6.81292e-03    4.14944e+01    2.66366e-02    6.41931e-04        36          64
  9    1.00000e-02    2.85000e+01    2.61468e-02    9.17431e-04        36          64
  9    1.46780e-02    1.96470e+01    2.54728e-02    1.29653e-03        36          64
  9    2.15443e-02    1.36155e+01    2.45697e-02    1.80454e-03        36          64
