# TCRW Fig 3(b) exact: |J_Dr|/|J_om| at left wall vs D_r (ω=1, OBC)
# Generated by tcrw_fig3_exact_dump.py — exact authors-Python data
# columns: L   D_r   ratio   |J_Dr|_wall   |J_om|_wall   Jx_w_Dr  Jy_w_Dr  Jx_w_om  Jy_w_om
  4    1.00000e-04    7.28890e-01    2.06038e-05    2.82673e-05   +4.99950e-06   -1.99880e-05   +1.99880e-05   +1.99880e-05
  4    1.46780e-04    7.28900e-01    3.02341e-05    4.14791e-05   +7.33792e-06   -2.93301e-05   +2.93301e-05   +2.93301e-05
  4    2.15443e-04    7.28915e-01    4.43603e-05    6.08579e-05   +1.07699e-05   -4.30330e-05   +4.30330e-05   +4.30330e-05
  4    3.16228e-04    7.28937e-01    6.50746e-05    8.92732e-05   +1.58064e-05   -6.31257e-05   +6.31257e-05   +6.31257e-05
  4    4.64159e-04    7.28969e-01    9.54359e-05    1.30919e-04   +2.31972e-05   -9.25737e-05   +9.25737e-05   +9.25737e-05
  4    6.81292e-04    7.29015e-01    1.39908e-04    1.91913e-04   +3.40414e-05   -1.35703e-04   +1.35703e-04   +1.35703e-04
  4    1.00000e-03    7.29084e-01    2.04984e-04    2.81153e-04   +4.99500e-05   -1.98805e-04   +1.98805e-04   +1.98805e-04
  4    1.46780e-03    7.29185e-01    3.00076e-04    4.11522e-04   +7.32822e-05   -2.90990e-04   +2.90990e-04   +2.90990e-04
  4    2.15443e-03    7.29334e-01    4.38738e-04    6.01559e-04   +1.07490e-04   -4.25367e-04   +4.25367e-04   +4.25367e-04
  4    3.16228e-03    7.29554e-01    6.40313e-04    8.77677e-04   +1.57614e-04   -6.20612e-04   +6.20612e-04   +6.20612e-04
  4    4.64159e-03    7.29880e-01    9.32036e-04    1.27697e-03   +2.31002e-04   -9.02955e-04   +9.02955e-04   +9.02955e-04
  4    6.81292e-03    7.30363e-01    1.35146e-03    1.85039e-03   +3.38325e-04   -1.30842e-03   +1.30842e-03   +1.30842e-03
  4    1.00000e-02    7.31086e-01    1.94872e-03    2.66552e-03   +4.95000e-04   -1.88481e-03   +1.88481e-03   +1.88481e-03
  4    1.46780e-02    7.32174e-01    2.78743e-03    3.80706e-03   +7.23127e-04   -2.69200e-03   +2.69200e-03   +2.69200e-03
  4    2.15443e-02    7.33832e-01    3.94146e-03    5.37106e-03   +1.05401e-03   -3.79791e-03   +3.79791e-03   +3.79791e-03
  4    3.16228e-02    7.36402e-01    5.48304e-03    7.44571e-03   +1.53114e-03   -5.26491e-03   +5.26491e-03   +5.26491e-03
  4    4.64159e-02    7.40481e-01    7.45559e-03    1.00686e-02   +2.21307e-03   -7.11956e-03   +7.11956e-03   +7.11956e-03
  4    6.81292e-02    7.47177e-01    9.82538e-03    1.31500e-02   +3.17438e-03   -9.29846e-03   +9.29846e-03   +9.29846e-03
  4    1.00000e-01    7.58694e-01    1.24156e-02    1.63645e-02   +4.50000e-03   -1.15714e-02   +1.15714e-02   +1.15714e-02
  4    1.46780e-01    7.79827e-01    1.48499e-02    1.90425e-02   +6.26178e-03   -1.34651e-02   +1.34651e-02   +1.34651e-02
  4    2.15443e-01    8.22178e-01    1.65640e-02    2.01465e-02   +8.45138e-03   -1.42457e-02   +1.42457e-02   +1.42457e-02
  4    3.16228e-01    9.18079e-01    1.69511e-02    1.84636e-02   +1.08114e-02   -1.30557e-02   +1.30557e-02   +1.30557e-02
  4    4.64159e-01    1.17820e+00    1.55470e-02    1.31956e-02   +1.24358e-02   -9.33069e-03   +9.33069e-03   +9.33069e-03
