# TCRW Fig 3(f) exact: P_edge/P_bulk vs ω (D_r=1e-3, OBC)
# Generated by tcrw_fig3_exact_dump.py — exact authors-Python data
# columns: L   ω   ratio   P_edge_norm   P_bulk_norm   n_edge   n_bulk
 10   0.0000    2.75725e+02    2.48177e-02    9.00090e-05        40          81
 10   0.0500    2.75725e+02    2.48177e-02    9.00090e-05        40          81
 10   0.1000    2.75725e+02    2.48177e-02    9.00090e-05        40          81
 10   0.1500    2.75725e+02    2.48177e-02    9.00090e-05        40          81
 10   0.2000    2.75725e+02    2.48177e-02    9.00090e-05        40          81
 10   0.2500    2.75725e+02    2.48177e-02    9.00090e-05        40          81
 10   0.3000    2.75725e+02    2.48177e-02    9.00090e-05        40          81
 10   0.3500    2.75725e+02    2.48177e-02    9.00090e-05        40          81
 10   0.4000    2.75725e+02    2.48177e-02    9.00090e-05        40          81
 10   0.4500    2.75725e+02    2.48177e-02    9.00090e-05        40          81
 10   0.5000    2.75725e+02    2.48177e-02    9.00090e-05        40          81
 10   0.5500    2.75725e+02    2.48177e-02    9.00090e-05        40          81
 10   0.6000    2.75725e+02    2.48177e-02    9.00090e-05        40          81
 10   0.6500    2.75725e+02    2.48177e-02    9.00090e-05        40          81
 10   0.7000    2.75725e+02    2.48177e-02    9.00090e-05        40          81
 10   0.7500    2.75725e+02    2.48177e-02    9.00090e-05        40          81
 10   0.8000    2.75725e+02    2.48177e-02    9.00090e-05        40          81
 10   0.8500    2.75725e+02    2.48177e-02    9.00090e-05        40          81
 10   0.9000    2.75725e+02    2.48177e-02    9.00090e-05        40          81
 10   0.9500    2.75725e+02    2.48177e-02    9.00090e-05        40          81
 10   1.0000    2.75725e+02    2.48177e-02    9.00090e-05        40          81

 19   0.0000    2.63895e+02    1.29487e-02    4.90677e-05        76         324
 19   0.0500    2.63895e+02    1.29487e-02    4.90677e-05        76         324
 19   0.1000    2.63895e+02    1.29487e-02    4.90677e-05        76         324
 19   0.1500    2.63895e+02    1.29487e-02    4.90677e-05        76         324
 19   0.2000    2.63895e+02    1.29487e-02    4.90677e-05        76         324
 19   0.2500    2.63895e+02    1.29487e-02    4.90677e-05        76         324
 19   0.3000    2.63895e+02    1.29487e-02    4.90677e-05        76         324
 19   0.3500    2.63895e+02    1.29487e-02    4.90677e-05        76         324
 19   0.4000    2.63895e+02    1.29487e-02    4.90677e-05        76         324
 19   0.4500    2.63895e+02    1.29487e-02    4.90677e-05        76         324
 19   0.5000    2.63895e+02    1.29487e-02    4.90677e-05        76         324
 19   0.5500    2.63895e+02    1.29487e-02    4.90677e-05        76         324
 19   0.6000    2.63895e+02    1.29487e-02    4.90677e-05        76         324
 19   0.6500    2.63895e+02    1.29487e-02    4.90677e-05        76         324
 19   0.7000    2.63895e+02    1.29487e-02    4.90677e-05        76         324
 19   0.7500    2.63895e+02    1.29487e-02    4.90677e-05        76         324
 19   0.8000    2.63895e+02    1.29487e-02    4.90677e-05        76         324
 19   0.8500    2.63895e+02    1.29487e-02    4.90677e-05        76         324
 19   0.9000    2.63895e+02    1.29487e-02    4.90677e-05        76         324
 19   0.9500    2.63895e+02    1.29487e-02    4.90677e-05        76         324
 19   1.0000    2.63895e+02    1.29487e-02    4.90677e-05        76         324

 49   0.0000    2.55847e+02    4.87792e-03    1.90658e-05       196        2304
 49   0.0500    2.55847e+02    4.87792e-03    1.90658e-05       196        2304
 49   0.1000    2.55847e+02    4.87792e-03    1.90658e-05       196        2304
 49   0.1500    2.55847e+02    4.87792e-03    1.90658e-05       196        2304
 49   0.2000    2.55847e+02    4.87792e-03    1.90658e-05       196        2304
 49   0.2500    2.55847e+02    4.87792e-03    1.90658e-05       196        2304
 49   0.3000    2.55847e+02    4.87792e-03    1.90658e-05       196        2304
 49   0.3500    2.55847e+02    4.87792e-03    1.90658e-05       196        2304
 49   0.4000    2.55847e+02    4.87792e-03    1.90658e-05       196        2304
 49   0.4500    2.55847e+02    4.87792e-03    1.90658e-05       196        2304
 49   0.5000    2.55847e+02    4.87792e-03    1.90658e-05       196        2304
 49   0.5500    2.55847e+02    4.87792e-03    1.90658e-05       196        2304
 49   0.6000    2.55847e+02    4.87792e-03    1.90658e-05       196        2304
 49   0.6500    2.55847e+02    4.87792e-03    1.90658e-05       196        2304
 49   0.7000    2.55847e+02    4.87792e-03    1.90658e-05       196        2304
 49   0.7500    2.55847e+02    4.87792e-03    1.90658e-05       196        2304
 49   0.8000    2.55847e+02    4.87792e-03    1.90658e-05       196        2304
 49   0.8500    2.55847e+02    4.87792e-03    1.90658e-05       196        2304
 49   0.9000    2.55847e+02    4.87792e-03    1.90658e-05       196        2304
 49   0.9500    2.55847e+02    4.87792e-03    1.90658e-05       196        2304
 49   1.0000    2.55847e+02    4.87792e-03    1.90658e-05       196        2304

