# TCRW Fig 3(g) exact: |J_Dr|/|J_om| at left wall vs ω (D_r=1e-3, OBC)
# Generated by tcrw_fig3_exact_dump.py — exact authors-Python data
# columns: L   ω   ratio   |J_Dr|_wall   |J_om|_wall   Jx_w_Dr  Jy_w_Dr  Jx_w_om  Jy_w_om
 10   0.0000    7.10711e-01    2.25717e-04    3.17594e-04   +2.27045e-05   +2.24573e-04   +2.24573e-04   -2.24573e-04
 10   0.0500    6.73172e-01    2.03387e-04    3.02132e-04   +2.27045e-05   +2.02115e-04   +2.24573e-04   -2.02115e-04
 10   0.1000    6.29664e-01    1.81087e-04    2.87593e-04   +2.27045e-05   +1.79658e-04   +2.24573e-04   -1.79658e-04
 10   0.1500    5.79413e-01    1.58832e-04    2.74126e-04   +2.27045e-05   +1.57201e-04   +2.24573e-04   -1.57201e-04
 10   0.2000    5.21749e-01    1.36643e-04    2.61895e-04   +2.27045e-05   +1.34744e-04   +2.24573e-04   -1.34744e-04
 10   0.2500    4.56264e-01    1.14559e-04    2.51080e-04   +2.27045e-05   +1.12286e-04   +2.24573e-04   -1.12286e-04
 10   0.3000    3.83070e-01    9.26540e-05    2.41872e-04   +2.27045e-05   +8.98291e-05   +2.24573e-04   -8.98291e-05
 10   0.3500    3.03226e-01    7.10947e-05    2.34461e-04   +2.27045e-05   +6.73718e-05   +2.24573e-04   -6.73718e-05
 10   0.4000    2.19749e-01    5.03271e-05    2.29020e-04   +2.27045e-05   +4.49145e-05   +2.24573e-04   -4.49145e-05
 10   0.4500    1.41496e-01    3.19347e-05    2.25693e-04   +2.27045e-05   +2.24573e-05   +2.24573e-04   -2.24573e-05
 10   0.5000    1.01101e-01    2.27045e-05    2.24573e-04   +2.27045e-05   -2.55494e-16   +2.24573e-04   -1.75741e-16
 10   0.5500    1.41496e-01    3.19347e-05    2.25693e-04   +2.27045e-05   -2.24573e-05   +2.24573e-04   +2.24573e-05
 10   0.6000    2.19749e-01    5.03271e-05    2.29020e-04   +2.27045e-05   -4.49145e-05   +2.24573e-04   +4.49145e-05
 10   0.6500    3.03226e-01    7.10947e-05    2.34461e-04   +2.27045e-05   -6.73718e-05   +2.24573e-04   +6.73718e-05
 10   0.7000    3.83070e-01    9.26540e-05    2.41872e-04   +2.27045e-05   -8.98291e-05   +2.24573e-04   +8.98291e-05
 10   0.7500    4.56264e-01    1.14559e-04    2.51080e-04   +2.27045e-05   -1.12286e-04   +2.24573e-04   +1.12286e-04
 10   0.8000    5.21749e-01    1.36643e-04    2.61895e-04   +2.27045e-05   -1.34744e-04   +2.24573e-04   +1.34744e-04
 10   0.8500    5.79413e-01    1.58832e-04    2.74126e-04   +2.27045e-05   -1.57201e-04   +2.24573e-04   +1.57201e-04
 10   0.9000    6.29664e-01    1.81087e-04    2.87593e-04   +2.27045e-05   -1.79658e-04   +2.24573e-04   +1.79658e-04
 10   0.9500    6.73172e-01    2.03387e-04    3.02132e-04   +2.27045e-05   -2.02115e-04   +2.24573e-04   +2.02115e-04
 10   1.0000    7.10711e-01    2.25717e-04    3.17594e-04   +2.27045e-05   -2.24573e-04   +2.24573e-04   +2.24573e-04

 19   0.0000    7.08125e-01    2.32941e-04    3.28954e-04   +1.24875e-05   +2.32606e-04   +2.32606e-04   -2.32606e-04
