# Reproduction of Dipanjan rtp_tl_2.nb line cut
# gamma=0.01 epsilon=0.15 L=30 time=10.0 y=4
# x P(x,y,t)
0 8.0450704374869491e-03
2 7.7564408184846419e-03
4 6.7707958353018863e-03
6 5.2282332360173590e-03
8 3.5195460294383213e-03
10 2.0649040079666441e-03
12 1.0659578755808743e-03
14 4.9079478512661500e-04
16 2.0431244421156044e-04
18 7.7795563032178168e-05
20 2.7333677688438207e-05
22 8.9164999280871231e-06
24 2.7120876536141343e-06
26 7.7355763896911460e-07
28 2.1720833761869110e-07
30 1.0152949238787266e-07
32 2.1205652079999015e-07
34 7.5092592885057779e-07
36 2.6234877226494249e-06
38 8.5962383405730675e-06
40 2.6270366975557300e-05
42 7.4579658494838008e-05
44 1.9553935976773297e-04
46 4.6945805700801709e-04
48 1.0203409640566715e-03
50 1.9806460809118484e-03
52 3.3881043119898023e-03
54 5.0607305609271513e-03
56 6.6068213755731513e-03
58 7.6529971992435834e-03
